+mAdmin size -> 471
+mTask size -> 773
+|202035133755763000000^1^Task|2020-03-05|-999999999-01-01|Fix UNID fmt (spaces)|VXBkYXRlIEAyMDIwLjAzLjA4LT4KVGhlIGNsZXZlciBlZmZpbmcgbW9ua2V5QmFzdGFzIGFwcGFyZW50bHkgaGF2ZSBiZWVuIHVzaW5nIGZha2VDb21waWxlckVycnM8YnI+CmZvciBxdWl0ZSBhIHdoaWxlIG5vdzo8YnI+ClRoZW1HZXRVTklEIGZuIGhhcyBiZWVuIGJhY2twb3J0ZWQgdG8gYSBtZXRob2Qgbm90IHVzaW5nIGEgRGF0ZVRpbWVGb3JtYXR0ZXI8YnI+Cihwcm9iYWJseSBjb25mbGljdHMgdy90aGVpciBjcmFwKTxicj4KQW55d2F5LCB0aGUgcmVzdWx0IGlzIHRoaXM6ICBXZSBuZWVkIHRvCjx1bD4KPGxpPlJlcGwgdGhlIG1ldGhkIHcvRm4gdXNpbmcgRm9ybWF0dGVyPC9saT4KPGxpPkZpeCBsZWdhY3kgSURzIChkaWZmIGxlbnMpIGJ5IHBhZGRpbmcgdG8gdW5pZm9ybUxlbjwvbGk+CjxsaT5FbnN1cmUgYWxsIHByaW9yRG9jVmVycyBhcmUgYWxzbyB1cGRhdGVkPC9saT4KPGxpPlN0b3JlIGZvciBwb3NzIHJldXNlIHcvb3RoZXIgbGVnYWN5IGRhdGE8L2xpPgo8bGk+c2hkIGJlIGEgcmVsYXRpdmVseSBtaW5vciBmaXg8L2xpPgo8L3VsPgo8aHI+CjFzdCBjaGs6IGFyZSB0aGUgbmV3IFVOSURzIGEgdW5pZm9ybSBsZW4/PGJyPg0KCm5leHQsIGVuc3VyZSB0aGUgcGFzdCBvbmVzIGFyZSByZWZvcm1hdHRlZCB0byBzYW1lIGxlbjxicj4NCgp0aGlzIHdpbGwgYWxsb3csIHdoZW4gbmVjZXNzOyB0byBzb3J0IGJ5IGRhdGU8YnI+DQoKTk9URTogZW5zdXJlIGFueSB1cGRhdGVzIGFsc28gY292ZXIgcHJpb3JWZXJzaW9ucw==|||spx|general||Useability|3|8||false|-999999999-01-01|||
+|202035133755763000000^2^Task|2020-03-05|-999999999-01-01|Fix UNID fmt (spaces)|VXBkYXRlIEAyMDIwLjAzLjA4LT4KVGhlIGNsZXZlciBlZmZpbmcgbW9ua2V5QmFzdGFzIGFwcGFyZW50bHkgaGF2ZSBiZWVuIHVzaW5nIGZha2VDb21waWxlckVycnM8YnI+DQoKZm9yIHF1aXRlIGEgd2hpbGUgbm93Ojxicj4NCgpUaGUgbUdldFVOSUQgZm4gaGFzIGJlZW4gYmFja3BvcnRlZCB0byBhIG1ldGhvZCBub3QgdXNpbmcgYSBEYXRlVGltZUZvcm1hdHRlcjxicj4NCgoocHJvYmFibHkgY29uZmxpY3RzIHcvdGhlaXIgY3JhcCk8YnI+DQoKQW55d2F5LCB0aGUgcmVzdWx0IGlzIHRoaXM6ICBXZSBuZWVkIHRvCjx1bD4KPGxpPlJlcGwgdGhlIG1ldGhkIHcvRm4gdXNpbmcgRm9ybWF0dGVyPC9saT4KPGxpPkZpeCBsZWdhY3kgSURzIChkaWZmIGxlbnMpIGJ5IHBhZGRpbmcgdG8gdW5pZm9ybUxlbjwvbGk+CjxsaT5FbnN1cmUgYWxsIHByaW9yRG9jVmVycyBhcmUgYWxzbyB1cGRhdGVkPC9saT4KPGxpPlN0b3JlIGZvciBwb3NzIHJldXNlIHcvb3RoZXIgbGVnYWN5IGRhdGE8L2xpPgo8bGk+c2hkIGJlIGEgcmVsYXRpdmVseSBtaW5vciBmaXg8L2xpPgo8L3VsPgo8aHI+CjFzdCBjaGs6IGFyZSB0aGUgbmV3IFVOSURzIGEgdW5pZm9ybSBsZW4/PGJyPg0KDQoKbmV4dCwgZW5zdXJlIHRoZSBwYXN0IG9uZXMgYXJlIHJlZm9ybWF0dGVkIHRvIHNhbWUgbGVuPGJyPg0KDQoKdGhpcyB3aWxsIGFsbG93LCB3aGVuIG5lY2VzczsgdG8gc29ydCBieSBkYXRlPGJyPg0KDQoKTk9URTogZW5zdXJlIGFueSB1cGRhdGVzIGFsc28gY292ZXIgcHJpb3JWZXJzaW9ucw==|||spx|general||Useability|3|8||false|-999999999-01-01|||
+|201710220243674^Task|2019-07-17|1000-01-01|mTable - .addAll(List<obj>)|ZG9lcyBSZXBsYWNlIG9yIFB1dCBhcyBuZWVkZWQ7ICBhbGxvd3MgLm1TYXZlVGJsKCkgJm5ic3A7Jm5ic3A7dGhpcyB3aWxsIG1lcmdlIGRpcmVjdGx5IGludG8gbU9iak1hcDsgIG5vIG5lZWQgdG8gbWVzcyB3L2luc3RhbmNlIHZhcnM=|||spxServer|dataEngine\mTbl||New Feature|7|9|root|false|1000-01-01|||
+|202032114616274000000^Task|2020-03-02|-999999999-01-01|createFrm/editFrm: Save btn shd close frmDlg|Rm9yIGJvdGggY3JlYXRlL2VkaXQgc2NlbmFyaW9z|||spxClient|dataGrid||Useability|2|8||false|-999999999-01-01|||
+|201871712021940654800^2^Task|2019-07-17|1000-01-01|Tagger POA|LSZndDsgIE5PVEU6IFRlc3QgdGhlIGtleURiIGFnYWluc3QgdGhlIGNvcnB1cyBiZWZvcmUgd29ya2luZyBvbiB0aGlzOyAgaXQgbWF5IHN1ZmZpY2U7ICBpZiBpdCBkb2VzLCB3ZSdyZSBkb25lIHdpdGggdGhpcy48YnI+DQoNCi0mZ3Q7ICBJZiBub3Q7ICB3ZSBzaGQgJ2xlYXJuIGZyb20gdGhlIGRhdGEnIGllLiwgTmFpdmVCYXllcyAmIHVzaW5nIGN1c3RvbSBNYXAvUmVkdWNlPGJyPg0KDQotJmd0OyAgVGhlIG1hcHMgY2FuIGJlIG9wdGltaXplZCBsYXRlciBJRiBORUNFU1NBUlkgKGlmIHRoZXkganVzdCBsaWUgb24gYSBzZXJ2ZXIgdGhleSBkb24ndCBuZWVkIG9wdGltaXphdGlvbiBmb3Igc2l6ZSk8YnI+DQoNCi0mZ3Q7ICBCdWlsZCBjdXN0b20gbW9kdWxlIGZvciB0aGlzIHJhdGhlciB0aGFuIHVzaW5nIG9mZi10aGUtc2hlbGY7ICBpdCdzIHNpbXBsZSBlbm91Z2guICA8YnI+DQoNClVzZSBhICdwaXBlbGluZScgbGlrZSBNYWxsZXQvU3RhbmZvcmQvZXQgYWwsIGJ1dCBhbGxvdyBNdWx0aS10YWdnaW5nICYgTi1ncmFtcy48YnI+DQoNCi0mZ3Q7ICBVc2UgTi1ncmFtcyArIHdvcmRtYXBzOyAgb3VyIGFwcHJvYWNoIHdpbGwgZGlmZmVyIGluIHRoYXQgb24gcHJvYyBuZXcgYXJ0OyAgaW5zdGQgb2YgPGJyPg0KDQpsb29raW5nIGZvciBlYSB0b2tlbiBpbiB0aGUgTWFwOyAgYXQgbGVhc3QgdGhlIE4tZ3JhbSBtYXBzJ2xsIGhhdmUgdG8gd29yayB0aGUgb3RoZXIgd2F5IChpZSwgcnVubmluZyBhcnQuaW5kZXhPZihtYXAgS2V5cykpPGJyPg0KDQpUaGlzIGlzIG5lY2MgZm9yIE4tZ3JhbXMgc2luY2Ugd2UgZG9uJ3Qga25vdyB0aGVpciBwb3NzIGxlbnMuPGJyPg0KDQotJmd0OyAgU29tZSBjb3JlICdzdGFuZGFyZCcgdGFncyBiYXNlZCBvbiBjb250ZW50OyAgb3RoZXIgJ2N1c3RvbScgdGFncyB3aWxsIGZ1cnRoZXIgYWRkIHRhZ3MgKGVnLCBhIERlc2kgYXJ0aWNsZSBjZCBiZSBGaW4gb3IgQm9keSArIERlc2kgVGFnZ2VkOyAgc2ltLmx5IEFtdXNlLCB3aGljaCBpcyBhbm90aCBjdXN0b20gdGFnKTxicj4NCg0KLSZndDsgIEFmdGVyIHJ1bm5pbmcgZWEgaW1wb3J0ICgmIHRhZ2dlcikgYXJ0aWNsZXMgd2lsbCBiZSBtYXJrZWQgXCJqdXN0VGFnZ2VkXCIgJiBhdmFpbCBpbiBhIERhdGFWaWV3IHRvIGNoZWNrLiAgVGhhdCBkYXRhVmlldyB3aWxsIGhhdmUgYSBidG4gdG8gXCJpbmNsIGFydCBpbiBuZXh0IHRyYWluaW5nXCIgYW5kIGJ0bnMgdG8gcmVhc3NpZ24gdGFncyBBTkQvT1IgYWRkIHRhZ3M8YnI+DQoNCi0mZ3Q7ICBUaGlzIGZpdHMgaW4gYmV0dGVyIHRvIHRoZSBhcHByb2FjaCB1c2VkIGJ5LCBzYXksIG1Cb3ggdGFnZ2luZyAoaWUsIGVhIGZpbG0gYXBwZWFycyB1bmRlciBkaWZmIHRhZ3MgJiB3aWxsIHNob3cgdXAgd2hlbiB0aGF0IHRhZyBpcyBjbGlja2VkIHVwb24pLjxicj4NCg0KPHNwYW4gc3R5bGU9J2NvbG9yOiByZWQnPkFkZGVuZGEgNS8yOTogPC9zcGFuPiBBZnRlciBmaW5hbGl6aW5nIHByb2MgJiB0ZXN0aW5nIHdlJ2xsIGhhdmUgdG8gc2V0ICdjb25maWRlbmNlIGxpbWl0cycsIGUuZy4sIDYwIC8gLjYsIGFib3ZlIHdoaWNoIHRhZ3MnbGwgYmUgY29uc2lkZXJlZCBhcHByb3ByaWF0ZSAmIG11bHRpLXRhZ2dpbmcgd2lsbCBvY2N1ci4=|||spxServer|aiEngine||Tagger|8|8|root|false|1000-01-01|||
+|20200324093239001^Task|2020-03-24|-999999999-01-01|FxObj Impl|IkNvbnRhaW5zIGZyb21YL3RvWCBldGMuLCArIEpjb21wIEZsZCBUZ3QgKExibCwgV2luIGV0Yy4pDQotIEluIEludGVyZmFjZSBGWCwgQWRkIHRvIE1vdmUgLT4gRmFkZUluLCBGYWRlT3V0LCBEaXNzb2x2ZSwgUGF1c2UsIFdpcGVJbiwgV2lwZU91dA0KLSBXZSBuZWVkIHRoZSBhYmlsaXR5IHRvIGZsdWlkbHkgY2hhaW4gdGhlc2UsIGllLCBidWlsZCAmIHJ1biBpbiBzdWNjZXNzaW9uOyBwZXJoYXBzIEludGVmYWNlIENvbXBvc2Ugd2hpY2ggY29tcG9zZXMgRnhCdWlsZGFibGVzPyAgDQpQb3NzIG5lZWQgdG8gZW5zdXJlIHRoZXkncmUgc3luY2hyb25pemVkIC8gc2FtZSB0aHJlYWQuIg==| postCov001||spxPostCovid||mData||0|0||false|-999999999-01-01|? 5||
+|201871712021940654800^1^Task|2019-07-17|1000-01-01|Tagger POA|LSZndDsgIE5PVEU6IFRlc3QgdGhlIGtleURiIGFnYWluc3QgdGhlIGNvcnB1cyBiZWZvcmUgd29ya2luZyBvbiB0aGlzOyAgaXQgbWF5IHN1ZmZpY2U7ICBpZiBpdCBkb2VzLCB3ZSdyZSBkb25lIHdpdGggdGhpcy48YnI+DQotJmd0OyAgSWYgbm90OyAgd2Ugc2hkICdsZWFybiBmcm9tIHRoZSBkYXRhJyBpZS4sIE5haXZlQmF5ZXMgJiB1c2luZyBjdXN0b20gTWFwL1JlZHVjZTxicj4NCi0mZ3Q7ICBUaGUgbWFwcyBjYW4gYmUgb3B0aW1pemVkIGxhdGVyIElGIE5FQ0VTU0FSWSAoaWYgdGhleSBqdXN0IGxpZSBvbiBhIHNlcnZlciB0aGV5IGRvbid0IG5lZWQgb3B0aW1pemF0aW9uIGZvciBzaXplKTxicj4NCi0mZ3Q7ICBCdWlsZCBjdXN0b20gbW9kdWxlIGZvciB0aGlzIHJhdGhlciB0aGFuIHVzaW5nIG9mZi10aGUtc2hlbGY7ICBpdCdzIHNpbXBsZSBlbm91Z2guICA8YnI+DQpVc2UgYSAncGlwZWxpbmUnIGxpa2UgTWFsbGV0L1N0YW5mb3JkL2V0IGFsLCBidXQgYWxsb3cgTXVsdGktdGFnZ2luZyAmIE4tZ3JhbXMuPGJyPg0KLSZndDsgIFVzZSBOLWdyYW1zICsgd29yZG1hcHM7ICBvdXIgYXBwcm9hY2ggd2lsbCBkaWZmZXIgaW4gdGhhdCBvbiBwcm9jIG5ldyBhcnQ7ICBpbnN0ZCBvZiA8YnI+DQpsb29raW5nIGZvciBlYSB0b2tlbiBpbiB0aGUgTWFwOyAgYXQgbGVhc3QgdGhlIE4tZ3JhbSBtYXBzJ2xsIGhhdmUgdG8gd29yayB0aGUgb3RoZXIgd2F5IChpZSwgcnVubmluZyBhcnQuaW5kZXhPZihtYXAgS2V5cykpPGJyPg0KVGhpcyBpcyBuZWNjIGZvciBOLWdyYW1zIHNpbmNlIHdlIGRvbid0IGtub3cgdGhlaXIgcG9zcyBsZW5zLjxicj4NCi0mZ3Q7ICBTb21lIGNvcmUgJ3N0YW5kYXJkJyB0YWdzIGJhc2VkIG9uIGNvbnRlbnQ7ICBvdGhlciAnY3VzdG9tJyB0YWdzIHdpbGwgZnVydGhlciBhZGQgdGFncyAoZWcsIGEgRGVzaSBhcnRpY2xlIGNkIGJlIEZpbiBvciBCb2R5ICsgRGVzaSBUYWdnZWQ7ICBzaW0ubHkgQW11c2UsIHdoaWNoIGlzIGFub3RoIGN1c3RvbSB0YWcpPGJyPg0KLSZndDsgIEFmdGVyIHJ1bm5pbmcgZWEgaW1wb3J0ICgmIHRhZ2dlcikgYXJ0aWNsZXMgd2lsbCBiZSBtYXJrZWQgXCJqdXN0VGFnZ2VkXCIgJiBhdmFpbCBpbiBhIERhdGFWaWV3IHRvIGNoZWNrLiAgVGhhdCBkYXRhVmlldyB3aWxsIGhhdmUgYSBidG4gdG8gXCJpbmNsIGFydCBpbiBuZXh0IHRyYWluaW5nXCIgYW5kIGJ0bnMgdG8gcmVhc3NpZ24gdGFncyBBTkQvT1IgYWRkIHRhZ3M8YnI+DQotJmd0OyAgVGhpcyBmaXRzIGluIGJldHRlciB0byB0aGUgYXBwcm9hY2ggdXNlZCBieSwgc2F5LCBtQm94IHRhZ2dpbmcgKGllLCBlYSBmaWxtIGFwcGVhcnMgdW5kZXIgZGlmZiB0YWdzICYgd2lsbCBzaG93IHVwIHdoZW4gdGhhdCB0YWcgaXMgY2xpY2tlZCB1cG9uKS48YnI+DQo8c3BhbiBzdHlsZT0nY29sb3I6IHJlZCc+QWRkZW5kYSA1LzI5OiA8L3NwYW4+IEFmdGVyIGZpbmFsaXppbmcgcHJvYyAmIHRlc3Rpbmcgd2UnbGwgaGF2ZSB0byBzZXQgJ2NvbmZpZGVuY2UgbGltaXRzJywgZS5nLiwgNjAgLyAuNiwgYWJvdmUgd2hpY2ggdGFncydsbCBiZSBjb25zaWRlcmVkIGFwcHJvcHJpYXRlICYgbXVsdGktdGFnZ2luZyB3aWxsIG9jY3VyLg==|||spxServer|aiEngine||Tagger|8|8|root|false|1000-01-01|||
+|20185312584938000000^1^Task|2019-07-17|1000-01-01|<html><span style='color: blue' >DELETE (dup)</span></html>|ZS5nLiwgTW9kdWxlcy9PYmplY3RpdmVzL2V0Yy4gIHN0cmVhbSwgZ2V0IGRpc3RpbmN0KCksIHN0b3JlIGZvciByZXRyaWV2YWwgaW50byBzaGVsbC48YnI+DQpUaGlzIGlzIFVSR0VOVCBjb3ogd2UnbGwgbmVlZCB0byBnZXQgdGhpcyBkb25lIGJlZm9yZSBpbXBsZW1lbnRpbmcgdGhpbmdzIGxpa2UgJ3N3aXRjaCB2aWV3J2FuZCAnc3dpdGNoIE1vZHVsZXxQcm9qZWN0JyBldGMu|||spxServer|dataEngine||To Be Impl.|1|1|root|false|1000-01-01|||
+|20203615337752000000^Task|2020-03-06|-999999999-01-01|Impl commentBlock, indentBlock|SnVzdCByZXBsYWNlcyBzZWxlY3RlZCB0eHQ7IG1pbm9yIHVwZGF0ZSBtYWpvciByZWxpZWY=|||spxClient|ide||Useability|5|6||false|-999999999-01-01|||
+|201986123613563000000^Task|2019-05-04|-999999999-01-01|Bookshelf|Sm9obiBTaW5nbGV0b24gKEJveXogaW4gdGhlIGhvb2QqKSBhbHNvIG1hZGU8YnI+PHVsPjxsaT5IaWdoZXIgTGVhcm5pbmc8L2xpPjxsaT5CYWJ5IEJveTwvbGk+PGxpPlNub3dGYWxsIChUViAtIEZYKTwvbGk+PC91bD4qIGxlZCB0byBob29kIG1vdmllcy0+PHVsPjxsaT5KdWljZTwvbGk+PGxpPk1lbmFjZSBJSSBTb2NpZXR5PC9saT48bGk+QWJvdmUgVGhlIHJpbTwvbGk+PGxpPkZyZXNoPC9saT48bGk+U291dGggQ2VudHJhbDwvbGk+PGxpPkZyaWRheTwvbGk+PC91bD48YnI+TWFydGluIFNjb3JjZXNlJ3MgJ1RoZSBLaW5nIG9mIENvbWVkeScgLT4gRGVOaXJvICYgSmVycnkgTGV3aXMoISk8YnI+UTogRGlubz8gKGluIHRoZSBtb3ZpZSBEZU5lcm8gaGFzIGEgbW91Y2hlKQ==|||rec|Film||List|5|5|root|false|-999999999-01-01|||
